str:bm9tZQ==,str:ZGVzY3Jpw6fDo28=,id,name,description,WKT
"Residência Humberto Omena",,"5c5f95f2_43AADDAC2AB2ADEF","Residência Humberto Omena","<div><b>nome</b>: Residência Humberto Omena</div><div><b>descrição</b>: <i>vazio</i></div>","POINT Z (-35.731688 -9.647627 0)"
"Residência Davi Albuquerque",,"5c5f95f2_43ACB121C7085829","Residência Davi Albuquerque","<div><b>nome</b>: Residência Davi Albuquerque</div><div><b>descrição</b>: <i>vazio</i></div>","POINT Z (-35.7305359 -9.650047899999999 0)"
"Residência Benedito Moreira",,"5c5f95f2_43ACAD4A06C45AE0","Residência Benedito Moreira","<div><b>nome</b>: Residência Benedito Moreira</div><div><b>descrição</b>: <i>vazio</i></div>","POINT Z (-35.737637 -9.636624099999999 0)"
"Residência Nilson Moura",,"5c5f95f2_43AADFD10D8883F4","Residência Nilson Moura","<div><b>nome</b>: Residência Nilson Moura</div><div><b>descrição</b>: <i>vazio</i></div>","POINT Z (-35.7347555 -9.6466661 0)"
"Residência Manoel Estevão",,"5c5f95f2_43AAE66184EE9A8B","Residência Manoel Estevão","<div><b>nome</b>: Residência Manoel Estevão</div><div><b>descrição</b>: <i>vazio</i></div>","POINT Z (-35.7355867 -9.6370364 0)"
"Residência Maria Tereza Silva Porto",,"5c5f95f2_468F63085E2673A8","Residência Maria Tereza Silva Porto","<div><b>nome</b>: Residência Maria Tereza Silva Porto</div><div><b>descrição</b>: <i>vazio</i></div>","POINT Z (-35.7176164 -9.6724417 0)"
"Residência Benício Oliveira",,"5c5f95f2_43AC5284CF86AEAB","Residência Benício Oliveira","<div><b>nome</b>: Residência Benício Oliveira</div><div><b>descrição</b>: <i>vazio</i></div>","POINT Z (-35.7509139 -9.664153700000002 0)"
"Residência Aurélia Cunha Lima","parcialmente demolida","5c5f95f2_43ACB4C0A466C6C7","Residência Aurélia Cunha Lima","<div><b>nome</b>: Residência Aurélia Cunha Lima</div><div><b>descrição</b>: parcialmente demolida</div>","POINT Z (-35.7336479 -9.647455899999999 0)"
"Residência Zélia Maia Nobre","Parcialmente demolida
Rua Manoel Maia Nobre
","5c5f95f2_43ACB96EC2E423FD","Residência Zélia Maia Nobre","<div><b>nome</b>: Residência Zélia Maia Nobre</div><div><b>descrição</b>: Parcialmente demolida
Rua Manoel Maia Nobre
</div>","POINT Z (-35.7328647 -9.6460746 0)"
"Residência Eurídice Mendes",,"5c5f95f2_43AAE98428CB638B","Residência Eurídice Mendes","<div><b>nome</b>: Residência Eurídice Mendes</div><div><b>descrição</b>: <i>vazio</i></div>","POINT Z (-35.7307089 -9.6683159 0)"
"Residência Geraldo Lira",,"5c5f95f2_43ACBBA80CE9D8EA","Residência Geraldo Lira","<div><b>nome</b>: Residência Geraldo Lira</div><div><b>descrição</b>: <i>vazio</i></div>","POINT Z (-35.7369261 -9.6364261 0)"
